,Date,global_id,AdmArea,District,Longitude_WGS84,Latitude_WGS84,Location,Results,geoData,Rank
3310,12.09.2018,904345339,Северный административный округ,район Беговой,37.567455,55.780729,"Скаковая улица, дом 18А",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.567455, 55.780729]}",0
3311,27.09.2018,904345340,Юго-Восточный административный округ,район Люблино,37.774194,55.681590,"Ставропольская улица, дом 70",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.774194, 55.68159]}",0
3312,27.09.2018,904345341,Юго-Восточный административный округ,район Выхино-Жулебино,37.852275,55.681250,"улица Генерала Кузнецова, дом 27, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.852275, 55.68125]}",0
3313,28.09.2018,904345343,Юго-Восточный административный округ,Нижегородский район,37.718633,55.731161,"Нижегородская улица, дом 86, корпус А",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.718633, 55.731161]}",0
3314,12.09.2018,904345344,Северо-Восточный административный округ,район Северное Медведково,37.680059,55.892122,"Северодвинская улица, дом 13, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.680059, 55.892122]}",0
3315,26.09.2018,904345345,Северный административный округ,Бескудниковский район,37.548258,55.868662,"Селигерская улица, дом 28",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.548258, 55.868662]}",0
3316,14.09.2018,904345346,Юго-Восточный административный округ,район Капотня,37.803404,55.638714,"2-ой квартал Капотни, дом 16, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.803404, 55.638714]}",0
3317,16.09.2018,904345347,Юго-Восточный административный округ,район Капотня,37.803543,55.638698,"2-й квартал Капотни, д.16,стр.1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.803543, 55.638698]}",0
3318,21.09.2018,904345349,Западный административный округ,район Ново-Переделкино,37.347233,55.652502,"6-я улица Новые сады, дом 2",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.347233, 55.652502]}",0
3319,21.09.2018,904345350,Западный административный округ,район Ново-Переделкино,37.360726,55.635782,"Новоорловская улица, дом 16",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.360726, 55.635782]}",0
3320,26.09.2018,904345351,Северо-Восточный административный округ,район Отрадное,37.608311,55.859943,"Якушкина проезд, дом 3",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.608311, 55.859943]}",0
3321,26.09.2018,904345352,Северо-Восточный административный округ,Алтуфьевский район,37.575693,55.882409,"Стандартная улица, дом 21, корпус 1",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.575693, 55.882409]}",0
3322,26.09.2018,904345353,Северный административный округ,район Беговой,37.567455,55.780729,"Скаковая улица, дом 18А",Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.,"{type=Point, coordinates=[37.567455, 55.780729]}",0
