"ID";"Date";"global_id";"AdmArea";"District";"Longitude_WGS84";"Latitude_WGS84";"Location";"Results";"geoData";
"5";"11.01.2016";"272626552";"Восточный административный округ";"район Восточный";"37.797262";"56.007634";"посёлок Акулово, дом 7";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.797261999821, 56.007634000087]}";
"6";"12.01.2016";"272626553";"Юго-Восточный административный округ";"район Некрасовка";"37.915094";"55.705884";"Рождественская улица, дом 21, корпус 4";"По отдельным веществам в атмосферном воздухе выявлены превышения предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.915094000367, 55.705883999939]}";
"7";"11.01.2016";"272626555";"Восточный административный округ";"район Новогиреево";"37.801156";"55.743139";"Перовская улица, дом 66, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.801155999846, 55.743138999795]}";
"8";"13.01.2016";"272626556";"Зеленоградский административный округ";"район Старое Крюково";"37.213224";"55.978150";"г. Зеленоград, Георгиевский проспект, дом 7";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.213224000395, 55.978149999771]}";
"9";"13.01.2016";"272626557";"Зеленоградский административный округ";"район Силино";"37.168481";"55.992985";"город Зеленоград, корпус 1131";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.168481000184, 55.992984999902]}";
"10";"13.01.2016";"272626558";"Зеленоградский административный округ";"район Савёлки";"37.255253";"55.991013";"город Зеленоград, корпус 526";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.255252999689, 55.991012999755]}";
"11";"12.01.2016";"272626560";"Северо-Восточный административный округ";"район Свиблово";"37.663297";"55.84818";"проезд Серебрякова, дом 21, строение 4";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.663296999678, 55.848180000212]}";
"12";"15.01.2016";"272626561";"Северо-Восточный административный округ";"Останкинский район";"37.621570";"55.819965";"Аргуновская улица, дом 18";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.621569999609, 55.819964999993]}";
"13";"15.01.2016";"272626562";"Северо-Восточный административный округ";"Бутырский район";"37.582349";"55.827808";"улица Милашенкова, дом 12";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.582349000044, 55.827808000097]}";
"14";"14.01.2016";"272626563";"Новомосковский административный округ";"поселение Внуковское";"37.274766";"55.620504";"деревня Ликова, дом 41А";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.274766000373, 55.62050400024]}";
"15";"13.01.2016";"272626564";"Троицкий административный округ";"поселение Первомайское";"37.221847";"55.522949";"посёлок Птичное, Центральная улица, дом 22";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.221846999774, 55.522949000157]}";
"16";"15.01.2016";"272626566";"Юго-Восточный административный округ";"район Люблино";"37.739626";"55.666706";"Люблинская улица, дом 72, строение 21";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.739625999564, 55.66670599998]}";
"17";"14.01.2016";"272626567";"Юго-Восточный административный округ";"район Выхино-Жулебино";"37.808527";"55.701339";"Ташкентская улица, дом 24, корпус 2";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.808527000146, 55.701339000185]}";
"18";"15.01.2016";"272626568";"Юго-Восточный административный округ";"район Люблино";"37.800676";"55.658896";"улица Верхние Поля, владение 55, строение 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.800676000346, 55.658896000249]}";
"19";"15.01.2016";"272626569";"Юго-Восточный административный округ";"район Кузьминки";"37.770286";"55.715388";"Окская улица, дом 34";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.770285999674, 55.715387999909]}";
"20";"14.01.2016";"272626570";"Южный административный округ";"район Бирюлёво Западное";"37.641962";"55.583037";"Востряковский проезд, дом 5, корпус 3";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.641962000002, 55.583036999979]}";
"21";"14.01.2016";"272626572";"Южный административный округ";"район Чертаново Южное";"37.595869";"55.590267";"Варшавское шоссе, дом 152, корпус 12";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.595868999905, 55.590266999782]}";
"22";"20.01.2016";"272626574";"Центральный административный округ";"район Якиманка";"37.618650";"55.731941";"2-й Спасоналивковский переулок, дом 3, строение 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.618649999727, 55.731940999975]}";
"23";"20.01.2016";"272626575";"Северо-Западный административный округ";"район Щукино";"37.474983";"55.791547";"улица Расплетина, дом 3, корпус 5";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.474982999582, 55.791546999972]}";
"24";"22.01.2016";"272626577";"Северо-Западный административный округ";"район Северное Тушино";"37.439320";"55.867839";"Планерная улица, дом 22, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.439319999583, 55.867839000087]}";
"25";"22.01.2016";"272626578";"Центральный административный округ";"район Хамовники";"37.561805";"55.725585";"улица 10-летия Октября, дом 10";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.561805000213, 55.725585000176]}";
"26";"01.02.2016";"272627151";"Северо-Западный административный округ";"район Щукино";"37.478010";"55.809889";"Авиационная улица, дом 13";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.478009999594, 55.809889000235]}";
"27";"01.02.2016";"272627154";"Центральный административный округ";"Таганский район";"37.642815";"55.747110";"Котельническая набережная, дом 1/15";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.642814999772, 55.747109999787]}";
"28";"01.02.2016";"272627157";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"37.462164";"55.776558";"проспект Маршала Жукова, дом 51";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.462164000053, 55.776557999911]}";
"29";"21.01.2016";"272626579";"Восточный административный округ";"район Новогиреево";"37.801156";"55.743139";"Перовская улица, дом 66, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.801155999846, 55.743138999795]}";
"31";"01.02.2016";"272627159";"Восточный административный округ";"район Новогиреево";"37.788674";"55.743127";"Кусковская улица, дом 37/60";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.788673999703, 55.743126999853]}";
"32";"04.02.2016";"272627163";"Северо-Западный административный округ";"район Куркино";"37.386607";"55.907152";"Соколово-Мещерская улица, дом 31";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.386606999746, 55.90715200003]}";
"33";"03.02.2016";"272627165";"Южный административный округ";"Донской район";"37.619117";"55.699188";"Варшавское шоссе, дом 8";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.619116999707, 55.699187999798]}";
"34";"27.01.2016";"272626581";"Юго-Восточный административный округ";"район Печатники";"37.728559";"55.690567";"Шоссейная улица, дом 3";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.728558999605, 55.690567000191]}";
"35";"27.01.2016";"272626582";"Юго-Восточный административный округ";"район Кузьминки";"37.768696";"55.707593";"Зеленодольская улица, дом 31, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.768695999587, 55.707593000139]}";
"36";"27.01.2016";"272626583";"Юго-Восточный административный округ";"район Лефортово";"37.729790";"55.736757";"Андроновское шоссе, дом 26, строение 5";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.729789999666, 55.736757000067]}";
"37";"04.02.2016";"272627169";"Юго-Восточный административный округ";"район Выхино-Жулебино";"37.857000";"55.677854";"Привольная улица, дом 77";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.857000000351, 55.677853999866]}";
"39";"05.02.2016";"272627174";"Юго-Восточный административный округ";"район Некрасовка";"37.927779";"55.686284";"2-я Вольская улица, дом 26";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.927779000002, 55.686284000073]}";
"40";"09.02.2016";"272627177";"Юго-Восточный административный округ";"район Текстильщики";"37.721319";"55.713461";"Волгоградский проспект, дом 45";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.721318999725, 55.713461000055]}";
"41";"09.02.2016";"272627179";"Юго-Восточный административный округ";"Рязанский район";"37.756676";"55.714850";"Окская улица, дом 5, корпус 3";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.7566760003, 55.714849999811]}";
"42";"09.02.2016";"272627182";"Юго-Восточный административный округ";"район Люблино";"37.774652";"55.679473";"Тихорецкий бульвар, дом 4, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.774651999703, 55.679472999962]}";
"43";"15.02.2016";"272627184";"Юго-Восточный административный округ";"район Лефортово";"37.729790";"55.736757";"Андроновское шоссе, дом 26, строение 5";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.729789999666, 55.736757000067]}";
"44";"10.02.2016";"272627186";"Восточный административный округ";"район Богородское";"37.736042";"55.809656";"Открытое шоссе, дом 12, строение 31";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.736042000058, 55.809656000082]}";
"45";"10.02.2016";"272627189";"Восточный административный округ";"район Соколиная Гора";"37.741172";"55.791056";"Лечебная улица, дом 17";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.741172000167, 55.791056000238]}";
"46";"16.02.2016";"272627192";"Восточный административный округ";"район Вешняки";"37.771642";"55.733817";"аллея Первой Маёвки, дом 1";"По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ.";"{type=Point, coordinates=[37.771642000307, 55.733817000179]}";
"47";"10.02.2016";"272627194";"Восточный административный округ";"район Измайлово";"37.789734";"55.792822";"Первомайская улица, дом 46";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.789734000061, 55.7928219998]}";
"48";"15.02.2016";"272627197";"Восточный административный округ";"район Перово";"37.770376";"55.743553";"улица Лазо, дом 10";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.770376000086, 55.743552999842]}";
"49";"16.02.2016";"272627199";"Юго-Восточный административный округ";"район Люблино";"37.738710";"55.667178";"Люблинская улица, дом 76";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.738710000045, 55.667178000159]}";
"50";"15.02.2016";"272627202";"Восточный административный округ";"район Вешняки";"37.829970";"55.741521";"улица Старый Гай, дом 10";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.829969999777, 55.741520999989]}";
"51";"16.02.2016";"272627204";"Юго-Восточный административный округ";"район Люблино";"37.792196";"55.669991";"улица Марьинский Парк, дом 41, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.792196000183, 55.669991000237]}";
"52";"22.01.2016";"272626584";"Юго-Западный административный округ";"Академический район";"37.573708";"55.692079";"Черемушкинский проезд, дом 3, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.573708000223, 55.692078999794]}";
"53";"26.01.2016";"272626586";"Южный административный округ";"район Бирюлёво Восточное";"37.655490";"55.597821";"Касимовская улица, дом 13";"По отдельным веществам в атмосферном воздухе выявлены повышенные среднесуточные концентрации загрязняющих веществ.";"{type=Point, coordinates=[37.655490000259, 55.597821000059]}";
"54";"01.02.2016";"272627207";"Южный административный округ";"район Зябликово";"37.734308";"55.620286";"Шипиловская улица, дом 46, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.734308000031, 55.620285999958]}";
"55";"01.02.2016";"272627209";"Южный административный округ";"район Орехово-Борисово Южное";"37.756623";"55.608439";"Гурьевский проезд, дом 29, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.756622999698, 55.608438999767]}";
"56";"11.02.2016";"272627212";"Южный административный округ";"район Братеево";"37.754143";"55.631590";"Братеевская улица, дом 21, корпус 4";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.754143000032, 55.631589999871]}";
"57";"11.02.2016";"272627214";"Южный административный округ";"район Орехово-Борисово Южное";"37.750083";"55.605577";"Гурьевский проезд, дом 17, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.750083000325, 55.605577000243]}";
"58";"12.02.2016";"272627217";"Юго-Западный административный округ";"район Зюзино";"37.584730";"55.647544";"улица Каховка, дом 13, корпус 9";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.584729999976, 55.647543999849]}";
"59";"12.02.2016";"272627220";"Южный административный округ";"Донской район";"37.608329";"55.690354";"Севастопольский проспект, дом 11, корпус 2";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.608329000306, 55.690354000005]}";
"60";"12.02.2016";"272627222";"Юго-Западный административный округ";"Гагаринский район";"37.540784";"55.691826";"Ломоносовский проспект, дом 18";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.540784000357, 55.691826000207]}";
"61";"03.02.2016";"272627225";"Восточный административный округ";"район Восточное Измайлово";"37.808826";"55.793665";"Первомайская улица, дом 99";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.808825999897, 55.793664999783]}";
"62";"05.02.2016";"272627226";"Восточный административный округ";"район Восточный";"37.797344";"56.007615";"посёлок Акулово, дом 7";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.797343999837, 56.007615000133]}";
"63";"24.02.2016";"272627228";"Восточный административный округ";"район Преображенское";"37.706460";"55.798729";"2-я улица Бухвостова, дом 7, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.706459999848, 55.79872900003]}";
"64";"25.02.2016";"272627230";"Восточный административный округ";"район Новокосино";"37.867250";"55.738773";"Городецкая улица, дом 12/17, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.867249999626, 55.738773000157]}";
"65";"25.02.2016";"272627232";"Восточный административный округ";"район Косино-Ухтомский";"37.863218";"55.712387";"Оренбургская улица, дом 20, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.863218000407, 55.712387000058]}";
"66";"21.01.2016";"272626587";"Западный административный округ";"район Дорогомилово";"37.568219";"55.748179";"Украинский бульвар, дом 9";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.568219000088, 55.748179000188]}";
"67";"21.01.2016";"272626589";"Западный административный округ";"район Раменки";"37.523076";"55.713141";"улица Дружбы, дом 2";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.523075999845, 55.71314100024]}";
"68";"21.01.2016";"272626590";"Западный административный округ";"район Ново-Переделкино";"37.349872";"55.637901";"Боровское шоссе, дом 40";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.349871999695, 55.637900999823]}";
"69";"26.01.2016";"272626592";"Западный административный округ";"район Очаково-Матвеевское";"37.464820";"55.688337";"Большая Очаковская улица, дом 3";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.464820000344, 55.688336999944]}";
"70";"26.01.2016";"272626593";"Западный административный округ";"район Фили-Давыдково";"37.453551";"55.729148";"Рублевское шоссе, дом 7";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.453550999821, 55.729147999797]}";
"71";"26.01.2016";"272626595";"Западный административный округ";"район Кунцево";"37.411539";"55.740213";"Оршанская улица, дом 4";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.411539000245, 55.740213000112]}";
"72";"26.01.2016";"272626596";"Новомосковский административный округ";"поселение ""Мосрентген""";"37.474618";"55.614348";"посёлок Завода Мосрентген, улица Героя России Соломатина, дом 18";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.474617999709, 55.61434799975]}";
"73";"27.01.2016";"272626598";"Новомосковский административный округ";"поселение Московский";"37.426947";"55.619051";"деревня Саларьево, Передельцевская улица, дом 33";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.426947000118, 55.619050999755]}";
"74";"28.01.2016";"272626599";"Новомосковский административный округ";"поселение Десеновское";"37.368525";"55.514628";"ЖК «Новые Ватутинки» квартал «Южный», Кедровая улица, дом 12";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.368525000039, 55.514627999874]}";
"75";"28.01.2016";"272626600";"Новомосковский административный округ";"поселение Филимонковское";"37.270709";"55.576121";"деревня Бурцево, Центральная улица, дом 17";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.270709000141, 55.576120999936]}";
"76";"21.01.2016";"272626602";"Северо-Восточный административный округ";"район Отрадное";"37.624049";"55.863959";"улица Мусоргского, дом 11";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.624049000349, 55.863958999856]}";
"77";"29.01.2016";"272626603";"Северный административный округ";"район Беговой";"37.577130";"55.776517";"Нижняя улица, дом 9";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.577130000246, 55.776516999805]}";
"78";"29.01.2016";"272626605";"Северный административный округ";"Бескудниковский район";"37.559487";"55.866116";"Бескудниковский бульвар, дом 20, корпус 2";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.559487000031, 55.866116000168]}";
"79";"02.02.2016";"272627233";"Северо-Восточный административный округ";"район Отрадное";"37.586473";"55.866768";"Алтуфьевское шоссе, дом 32";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.586473000223, 55.866768000179]}";
"80";"02.02.2016";"272627235";"Северо-Восточный административный округ";"район Отрадное";"37.616854";"55.855330";"Отрадная улица, дом 15";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.616853999776, 55.855329999911]}";
"81";"03.02.2016";"272627237";"Северный административный округ";"район Восточное Дегунино";"37.565057";"55.884802";"Керамический проезд, дом 59";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.565057000357, 55.884802000018]}";
"82";"28.01.2016";"272626606";"Новомосковский административный округ";"поселение Московский";"37.315334";"55.616954";"деревня Лапшинка";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.315334000351, 55.61695399988]}";
"83";"04.02.2016";"272627239";"Новомосковский административный округ";"поселение Марушкинское";"37.117092";"55.587988";"посёлок совхоза Крекшино, улица Южная";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.117092000296, 55.587988000135]}";
"84";"02.02.2016";"272627242";"Северный административный округ";"район Западное Дегунино";"37.492733";"55.885110";"улица Бусиновская Горка, дом 13";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.492732999927, 55.885109999858]}";
"85";"08.02.2016";"272627245";"Северо-Восточный административный округ";"Ярославский район";"37.686141";"55.850636";"Ярославское шоссе, дом 6, корпус 2";"По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ.";"{type=Point, coordinates=[37.686141000148, 55.850635999937]}";
"86";"12.02.2016";"272627248";"Северный административный округ";"Савёловский район";"37.557448";"55.800028";"улица 8 Марта, дом 2/10, корпус 2";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.557448000406, 55.800027999776]}";
"87";"18.02.2016";"272627249";"Северный административный округ";"Головинский район";"37.524722";"55.860130";"Солнечногорский проезд, дом 11";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.524722000008, 55.86012999988]}";
"88";"18.02.2016";"272627251";"Северо-Восточный административный округ";"район Бибирево";"37.625909";"55.890714";"улица Корнейчука, дом 59А";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.625908999874, 55.890714000032]}";
"89";"18.02.2016";"272627253";"Северный административный округ";"район Ховрино";"37.486742";"55.866238";"улица Лавочкина, дом 56/23";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.486741999651, 55.866238000135]}";
