"ID";"Date";"global_id";"AdmArea";"District";"Longitude_WGS84";"Latitude_WGS84";"Location";"Results";"geoData";
"250";"13.05.2016";"272438107";"Северный административный округ";"район Западное Дегунино";"37.507906";"55.879329";"Базовская улица, дом 15, корпус 4";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.507905999623, 55.879329000081]}";
"251";"12.05.2016";"272438108";"Северо-Восточный административный округ";"район Отрадное";"37.586230";"55.862004";"Алтуфьевское шоссе, дом 24";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.586229999651, 55.862004000139]}";
"252";"23.05.2016";"272438109";"Северный административный округ";"Савёловский район";"37.579529";"55.807542";"Бутырская улица, дом 97";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.579528999721, 55.807541999897]}";
"253";"23.05.2016";"272438110";"Северный административный округ";"Бескудниковский район";"37.565111";"55.855083";"Дмитровское шоссе, дом 64, строение 5";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.565110999885, 55.855083000081]}";
"254";"23.05.2016";"272438111";"Северный административный округ";"район Аэропорт";"37.522800";"55.810683";"Часовая улица, дом 26";"По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ.";"{type=Point, coordinates=[37.52279999966, 55.810682999893]}";
"255";"23.05.2016";"272438112";"Северный административный округ";"Тимирязевский район";"37.557385";"55.805746";"Чуксин тупик, дом 7";"По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ.";"{type=Point, coordinates=[37.557384999758, 55.805745999994]}";
"256";"26.05.2016";"272438113";"Восточный административный округ";"район Преображенское";"37.709021";"55.790276";"улица Буженинова, дом 22";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.709020999705, 55.790275999851]}";
"257";"26.05.2016";"272438114";"Восточный административный округ";"район Соколиная Гора";"37.714060";"55.776381";"улица Семёновский Вал, дом 12";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.714059999578, 55.776381000056]}";
"258";"26.05.2016";"272438115";"Восточный административный округ";"район Соколиная Гора";"37.733509";"55.760043";"Буракова улица, дом 25А";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.73350899979, 55.760042999818]}";
"259";"04.05.2016";"272438116";"Южный административный округ";"район Зябликово";"37.742860";"55.617027";"улица Мусы Джалиля, дом 38, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов";"{type=Point, coordinates=[37.742860000163, 55.617027000159]}";
"260";"04.05.2016";"272438117";"Южный административный округ";"район Орехово-Борисово Южное";"37.753236";"55.607066";"Гурьевский проезд, дом 23, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.753235999836, 55.607066000204]}";
"261";"05.05.2016";"272438118";"Южный административный округ";"район Братеево";"37.774463";"55.643434";"улица Борисовские Пруды, дом 48, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.774462999557, 55.643434000099]}";
"262";"05.05.2016";"272438119";"Южный административный округ";"район Царицыно";"37.650981";"55.637535";"улица Кантемировская, дом 53, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.650981000115, 55.637534999899]}";
"263";"12.05.2016";"272438120";"Южный административный округ";"район Бирюлёво Восточное";"37.659245";"55.591630";"улица Касимовская, дом 39";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.659245000367, 55.5916299998]}";
"264";"12.05.2016";"272438121";"Южный административный округ";"район Бирюлёво Западное";"37.640282";"55.586807";"Востряковский проезд, дом 1, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.640282000402, 55.586806999918]}";
"265";"12.05.2016";"272438122";"Южный административный округ";"Даниловский район";"37.665273";"55.708425";"1-ый Кожуховский проезд, дом 19, корпус 1";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.665272999554, 55.708425000207]}";
"266";"17.05.2016";"272438123";"Южный административный округ";"Даниловский район";"37.660269";"55.700055";"улица Лобанова, дом 9";"По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ.";"{type=Point, coordinates=[37.660268999841, 55.700054999922]}";
"267";"11.05.2016";"272438124";"Юго-Западный административный округ";"район Южное Бутово";"37.577885";"55.536441";"2-я Мелитопольская улица, дом 15";"По отдельным веществам в атмосферном воздухе выявлены повышенные максимальные разовые концентрации загрязняющих веществ.";"{type=Point, coordinates=[37.577885000106, 55.536440999832]}";
"268";"25.05.2016";"272438125";"Южный административный округ";"район Нагатинский Затон";"37.667348";"55.672834";"проспект Андропова, дом 37, корпус 3";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимальных разовых нормативов.";"{type=Point, coordinates=[37.667348000063, 55.672834000164]}";
"269";"11.05.2016";"272438126";"Троицкий административный округ";"поселение Киевский";"36.870622";"55.429418";"рабочий посёлок Киевский, дом 7";"Содержание загрязняющих веществ в атмосферном воздухе на жилой территории не превысило предельно допустимых максимально разовых нормативов.";"{type=Point, coordinates=[36.870622000258, 55.429418000197]}";
